onlineProdSn,onlineProdCode,brandSn,brandName,url,prodName,salePrice,description,mainCategory,subCategory,detailCategory,reviewCount,avgRating,imageUrl,price,discountRate,ingredients
59499,111970001567,31,라네즈,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59499,크림스킨 스페셜 기프트 세트 (본품170ml+리필130ml),26400,"세라펩타이드 크림을 스킨으로 녹여, 첫 단계부터 보습을 깊게 채우고 속탄력 및 장벽을 개선하여 촉촉하고 탄탄한 윤광피부를 완성해주는 #첫보습스킨",스킨케어,모이스처라이징,,3374,4.89,https://images-kr.amoremall.com/products/111970001567/111970001567_01.png?1766478925835,33000,20,
41029,111970001027,31,라네즈,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=41029,네오쿠션 퍼프 (글로우/매트) 1입,2000,,소품 & 도구,미용 소도구,스펀지&퍼프,2705,4.77,https://images-kr.amoremall.com/products/111970001027/111970001027_01.png?1683522133907,2500,20,
50911,111970001216,31,라네즈,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=50911,워터뱅크 블루 히알루로닉 클렌징 폼 150g,17500,사르르 녹는 셀룰로오스를 담은 쫀쫀한 거품이 메이크업 잔여물부터 모공 속 노폐물까지 한 번에 세정하는 클렌징 폼,스킨케어,클렌징,클렌징폼,1148,4.82,https://images-kr.amoremall.com/products/111970001216/111970001216_01.png?1766048310993,25000,30,
64436,111970001863,31,라네즈,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64436,크림 스킨 미스트 30ml,8640,크림 한 통을 그대로 녹여내어 피부에 촉촉함과 윤기를 선사하는  보습 미스트,스킨케어,모이스처라이징,미스트,684,4.77,https://images-kr.amoremall.com/products/111970001863/111970001863_01.png?1742359720466,12000,28,
56097,111970001452,31,라네즈,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56097,크림스킨 미스트펌프,4000,크림 스킨 본품과 호환 가능한 미스트 펌프.,소품 & 도구,미용 소도구,,729,4.76,https://images-kr.amoremall.com/products/111970001452/111970001452_01.png?1672276982409,5000,20,
64847,111970001904,31,라네즈,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64847,[도넛립세럼] 글레이즈 크레이즈 틴티드 립 세럼 (8종) 12g,18700,95% 의 스킨케어 성분을 함유하여  건조한 입술에 세럼 광과 맑은 컬러를  선사 하는 립 세럼,메이크업,립,립케어 & 립밤,1715,4.87,https://images-kr.amoremall.com/products/111970001904/111970001904_01.png?1745566935358,22000,15,
63711,111970001839,31,라네즈,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63711,NEW 립 슬리핑 마스크 20g,15840,,메이크업,립,립케어 & 립밤,5390,4.93,https://images-kr.amoremall.com/products/111970001839/111970001839_01.png?1739709724075,22000,28,
20978,111970000474,31,라네즈,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=20978,립 슬리핑 마스크 EX 20g,15840,잠자는 사이 각질 관리와 강력한 보습 충전으로 아침이면 매끈 탱탱한 입술로 가꿔주는 립 전용 슬리핑 마스크,메이크업,립,립케어 & 립밤,15896,4.91,https://images-kr.amoremall.com/products/111970000474/111970000474_01.png?1732466969532,22000,28,
50917,111970001222,31,라네즈,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=50917,워터뱅크 블루 히알루로닉 아이 크림 25ml,32000,가벼운 텍스처가 얇은 눈가를 감싸면서 건조해진 눈가 피부결 & 탄력을 이중으로 개선해주는 아이 크림,스킨케어,모이스처라이징,아이 & 넥,931,4.75,https://images-kr.amoremall.com/products/111970001222/111970001222_01.png?1733969302629,40000,20,
20006,111970000317,31,라네즈,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=20006,워터 슬리핑 마스크 70ml,22400,낮 동안 흐트러진 피부 리듬을 되찾고 맑고 투명한 피부로 가꿔주는 수분 마스크,스킨케어,스페셜 케어,마스크 & 팩,6966,4.79,https://images-kr.amoremall.com/products/111970000317/111970000317_01.png?1754008467960,32000,30,
