brandName,prodName,onlineProdSn,onlineProdCode,mainCategory,subCategory,detailCategory,price,salePrice,discountRate,reviewCount,avgRating,imageUrl
라네즈,크림스킨 스페셜 기프트 세트 (본품170ml+리필130ml),59499,111970001567,스킨케어,모이스처라이징,,33000,26400,20,3374,4.89,https://images-kr.amoremall.com/products/111970001567/111970001567_01.png?1766478925835
라네즈,네오쿠션 퍼프 (글로우/매트) 1입,41029,111970001027,소품 & 도구,미용 소도구,스펀지&퍼프,2500,2000,20,2705,4.77,https://images-kr.amoremall.com/products/111970001027/111970001027_01.png?1683522133907
라네즈,워터뱅크 블루 히알루로닉 클렌징 폼 150g,50911,111970001216,스킨케어,클렌징,클렌징폼,25000,17500,30,1148,4.82,https://images-kr.amoremall.com/products/111970001216/111970001216_01.png?1766048310993
라네즈,크림 스킨 미스트 30ml,64436,111970001863,스킨케어,모이스처라이징,미스트,12000,8640,28,684,4.77,https://images-kr.amoremall.com/products/111970001863/111970001863_01.png?1742359720466
라네즈,크림스킨 미스트펌프,56097,111970001452,소품 & 도구,미용 소도구,,5000,4000,20,729,4.76,https://images-kr.amoremall.com/products/111970001452/111970001452_01.png?1672276982409
라네즈,[도넛립세럼] 글레이즈 크레이즈 틴티드 립 세럼 (8종) 12g,64847,111970001904,메이크업,립,립케어 & 립밤,22000,18700,15,1715,4.87,https://images-kr.amoremall.com/products/111970001904/111970001904_01.png?1745566935358
라네즈,NEW 립 슬리핑 마스크 20g,63711,111970001839,메이크업,립,립케어 & 립밤,22000,15840,28,5390,4.93,https://images-kr.amoremall.com/products/111970001839/111970001839_01.png?1739709724075
라네즈,립 슬리핑 마스크 EX 20g,20978,111970000474,메이크업,립,립케어 & 립밤,22000,15840,28,15896,4.91,https://images-kr.amoremall.com/products/111970000474/111970000474_01.png?1732466969532
라네즈,워터뱅크 블루 히알루로닉 아이 크림 25ml,50917,111970001222,스킨케어,모이스처라이징,아이 & 넥,40000,32000,20,931,4.75,https://images-kr.amoremall.com/products/111970001222/111970001222_01.png?1733969302629
라네즈,워터 슬리핑 마스크 70ml,20006,111970000317,스킨케어,스페셜 케어,마스크 & 팩,32000,22400,30,6966,4.79,https://images-kr.amoremall.com/products/111970000317/111970000317_01.png?1754008467960
라네즈,립 글로이 밤 10g,63063,111970001785,메이크업,립,립케어 & 립밤,19000,13680,28,9631,4.91,https://images-kr.amoremall.com/products/111970001785/111970001785_01.png?1730961843104
